inventory_id;version;set_num;name;year;theme_id;theme_name;num_parts;img_url;price
76;1;10189-1;Taj Mahal;2008;673;Creator Expert;5922;https://cdn.rebrickable.com/media/sets/10189-1.jpg;119.99
297;1;10700-1;Green Baseplate;2015;621;Classic;1;https://cdn.rebrickable.com/media/sets/10700-1.jpg;7.99
3060;1;10701-1;Gray Baseplate;2015;621;Classic;1;https://cdn.rebrickable.com/media/sets/10701-1.jpg;14.99
43287;2;10217-1;Diagon Alley;2011;246;Harry Potter;2029;https://cdn.rebrickable.com/media/sets/10217-1.jpg;449.99
7975;1;10565-1;Creative Suitcase;2014;505;Basic Set;135;https://cdn.rebrickable.com/media/sets/10565-1.jpg;19.99
8080;1;10696-1;Medium Creative Brick Box;2015;621;Classic;484;https://cdn.rebrickable.com/media/sets/10696-1.jpg;34.99
11136;1;10041-1;Main Street;2003;50;Town;640;https://cdn.rebrickable.com/media/sets/10041-1.jpg;139.99
11207;1;21028-1;New York City;2016;253;Skylines;598;https://cdn.rebrickable.com/media/sets/21028-1.jpg;59.99
12811;1;10198-1;Tantive IV;2009;171;Ultimate Collector Series;1408;https://cdn.rebrickable.com/media/sets/10198-1.jpg;79.99
13915;1;21108-1;Ghostbusters Ecto-1;2014;576;LEGO Ideas and CUUSOO;508;https://cdn.rebrickable.com/media/sets/21108-1.jpg;239.99
123151;2;10255-1;Assembly Square;2017;155;Modular Buildings;4002;https://cdn.rebrickable.com/media/sets/10255-1.jpg;299.99
14040;1;10200-1;Custom Car Garage;2008;397;Factory;894;https://cdn.rebrickable.com/media/sets/10200-1.jpg;59.99
19670;1;75192-1;Millennium Falcon;2017;171;Ultimate Collector Series;7541;https://cdn.rebrickable.com/media/sets/75192-1.jpg;849.99
20147;1;40262-1;Christmas Train Ride;2017;227;Christmas;169;https://cdn.rebrickable.com/media/sets/40262-1.jpg;9.99
21869;1;10714-1;Blue Baseplate;2018;621;Classic;1;https://cdn.rebrickable.com/media/sets/10714-1.jpg;7.99
25241;1;21042-1;Statue of Liberty;2018;252;Architecture;1685;https://cdn.rebrickable.com/media/sets/21042-1.jpg;119.99
