part_num;Name;Serial;Price;element_id;design_id;color_id
973c14h01pr6850;MINI UPPER PART, NO. 6850;6468371/76382;$1.22;6468371;76382;71
973c05h01pr6840;MINI UPPER PART, NO. 6840;6463580/76382;$1.22;6463580;76382;272
970c23pat19;MINI LOWER PART;6467618/77601;$1.02;6467618;77601;84
60593;FRAME 1X2X3;6468352/3662;$0.20;6468352;3662;72
77850;PLATE 1X3, ROUNDED, NO. 1;6446028/77850;$0.12;6446028;77850;71
3478;WIG, BIG HEAD, NO. 1;6430626/3478;$1.16;6430626;3478;0
973c35h01pr6825;MINI UPPER PART, NO. 6825;6460998/76382;$1.32;6460998;76382;326
973c14h01pr6766;MINI UPPER PART, NO. 6766;6453944/76382;$1.04;6453944;76382;71
28621pr4152;MINI HEAD, NO. 4152;6446937/104509;$0.24;6446937;104509;14
75902pr0036;SHIELD, NO. 36;6449632/104738;$1.21;6449632;104738;72
75902pr0035;SHIELD, NO. 35;6446939/104511;$1.21;6446939;104511;72
2431pr9993;FLAT TILE 1X4, NO. 199;6446940/104512;$0.49;6446940;104512;70
28621pr4151;MINI HEAD, NO. 4151;6446935/104507;$0.24;6446935;104507;14
25128c01;MINI FIGUR BABY BODY;6483534/25128;$2.13;6483534;25128;3
38800;MINI WIG, NO. 224;6461853/86370;$0.73;6461853;86370;308
34316;MINI WIG, NO. 332;6459549/3090;$0.92;6459549;3090;70
38798;MINI WIG, NO. 223;6457875/3061;$0.93;6457875;3061;484
973c15h01pr6790;MINI UPPER PART, NO. 6790;6457709/76382;$1.10;6457709;76382;323
25269;1/4 CIRCLE TILE 1X1;6454942/25269;$0.04;6454942;25269;326
2420;CORNER PLATE 1X2X2;6454543/2420;$0.06;6454543;2420;308
20310;DESIGN BRICK 1X1X2;6449592/20310;$0.14;6449592;20310;0
34103;PLATE 1X3 W/ 2 KNOBS;6449594/34103;$0.06;6449594;34103;28
35464;ROOF TILE 1X1, DEG. 45, W/O KNOBS;6262021/35464;$0.06;6262021;35464;72
30136;PALISADE BRICK 1X2;6429478/30136;$0.08;6429478;30136;326
13808;SAXOPHONE W. Ø3,2 SHAFT;6483420/13808;$0.47;6483420;13808;297
3748;BOW, NO. 3;6450613/3748;$0.51;6450613;3748;0
36037;MINI WIG, NO. 199;6462378/36037;$0.46;6462378;36037;19
37762;CANDLE, NO. 1;6454936/37762;$0.07;6454936;37762;19
77850;PLATE 1X3, ROUNDED, NO. 1;6450820/77850;$0.12;6450820;77850;15
69857;MINI WIG, NO. 318;6454364/69857;$0.61;6454364;69857;19
68495pat0003;CUP, NO. 1006;6454153/68495;$0.60;6454153;68495;47
3565;LEAF 2X6X1, NO. 1;6433394/3565;$0.27;6433394;3565;10
2682;PLANT, W/ PLATE 2X3X2, NO. 1;6439714/2682;$0.18;6439714;2682;15
38320;BARS FOR FRAME 1X2X2;6477141/3273;$0.08;6477141;3273;0
3396;TILE 2X2, W/ CUT OUT;6449595/3396;$0.15;6449595;3396;15
3386;PLATE 1X1X2/3, W/ 1 KNOB, ROUNDED;6448793/3386;$0.15;6448793;3386;71
970c11pr2550;MINI LOWER PART, NO. 2550;6449633/104739;$0.82;6449633;104739;28
15469;PLATE 2X2,2/3 W/KRYDSHUL& CROWN LEAF;6447702/15469;$0.17;6447702;15469;378
77845;PLATE 1X4, ROUNDED, NO. 1;6463591/77845;$0.14;6463591;77845;70
99563;GOLD INGOT;6448315/99563;$0.04;6448315;99563;320
3572;BRICK 1X5X2, INSIDE HALF ARCH;6458992/3572;$0.65;6458992;3572;70
53450;HELMET, NO. 36;6391821/53450;$0.28;6391821;53450;1103
3532;WIG, NO. 70;6432153/3532;$0.83;6432153;3532;0
4643;WIG, W/ 1,5 HOLE, NO. 5;6455310/4643;$0.93;6455310;4643;308
58057pr9999;DOG 2X4X2.5, NO. 4;6487485/58057;$7.00;6487485;58057;19
74528;MINI HAT, NO. 148;6470128/5368;$0.93;6470128;5368;15
10509pr0009;ANIMAL NO.11;6458645/10509;$5.08;6458645;10509;15
77845;PLATE 1X4, ROUNDED, NO. 1;6456718/77845;$0.13;6456718;77845;71
973c01h01pr6774;MINI UPPER PART, NO. 6774;6455810/76382;$1.06;6455810;76382;26
973c01h01pr6773;MINI UPPER PART, NO. 6773;6455746/76382;$1.04;6455746;76382;0
2682;PLANT, W/ PLATE 2X3X2, NO. 1;6454351/2682;$0.17;6454351;2682;72
3941;BRICK Ø16 W. CROSS;6454167/6143;$0.09;6454167;6143;84
19119;STALK W. 1,5 SHAFT AND 3,2 SHAFT;6452882/19119;$0.18;6452882;19119;308
3565;LEAF 2X6X1, NO. 1;6451597/3565;$0.26;6451597;3565;2
78258;SHAFT 2M DIA. 3.2 W/ STOP;6451002/78258;$0.08;6451002;78258;70
85861;PL.ROUND 1X1 W. THROUGHG. HOLE;6449836/29387;$0.05;6449836;29387;47
973c28h01pr6736;MINI UPPER PART, NO. 6736;6448731/76382;$1.10;6448731;76382;31
