set_num;name;year;theme_id;theme_name;num_parts;img_url;Price
45015-1;Tech Machines;2013;516;Duplo and Explore;97;https://cdn.rebrickable.com/media/sets/45015-1.jpg;249.95
21108-1;Ghostbusters Ecto-1;2014;576;LEGO Ideas and CUUSOO;508;https://cdn.rebrickable.com/media/sets/21108-1.jpg;49.99
10696-1;Medium Creative Brick Box;2015;621;Classic;484;https://cdn.rebrickable.com/media/sets/10696-1.jpg;34.99
10698-1;Large Creative Brick Box;2015;621;Classic;790;https://cdn.rebrickable.com/media/sets/10698-1.jpg;59.99
21034-1;London;2016;253;Skylines;468;https://cdn.rebrickable.com/media/sets/21034-1.jpg;39.99
21028-1;New York City;2016;253;Skylines;598;https://cdn.rebrickable.com/media/sets/21028-1.jpg;59.99
31058-1;Mighty Dinosaurs;2017;672;Creator 3-in-1;174;https://cdn.rebrickable.com/media/sets/31058-1.jpg;14.99
45024-1;STEAM Park;2017;516;Duplo and Explore;303;https://cdn.rebrickable.com/media/sets/45024-1.jpg;219.95
10255-1;Assembly Square;2017;155;Modular Buildings;4002;https://cdn.rebrickable.com/media/sets/10255-1.jpg;299.99
75192-1;Millennium Falcon;2017;171;Ultimate Collector Series;7541;https://cdn.rebrickable.com/media/sets/75192-1.jpg;849.99
40262-1;Christmas Train Ride;2017;227;Christmas;169;https://cdn.rebrickable.com/media/sets/40262-1.jpg;9.99
21042-1;Statue of Liberty;2018;252;Architecture;1685;https://cdn.rebrickable.com/media/sets/21042-1.jpg;119.99
10875-1;Cargo Train;2018;634;Trains;105;https://cdn.rebrickable.com/media/sets/10875-1.jpg;129.99
60205-1;Tracks;2018;66;Trains;20;https://cdn.rebrickable.com/media/sets/60205-1.jpg;19.99
10882-1;Train Tracks;2018;634;Trains;23;https://cdn.rebrickable.com/media/sets/10882-1.jpg;19.99
10872-1;Train Bridge and Tracks;2018;634;Trains;26;https://cdn.rebrickable.com/media/sets/10872-1.jpg;24.99
45025-1;Coding Express;2018;516;Duplo and Explore;235;https://cdn.rebrickable.com/media/sets/45025-1.jpg;249.95
71043-1;Hogwarts Castle;2018;246;Harry Potter;6020;https://cdn.rebrickable.com/media/sets/71043-1.jpg;469.99
10874-1;Steam Train;2018;634;Trains;59;https://cdn.rebrickable.com/media/sets/10874-1.jpg;64.99
