Name;Pieces;;Price;
Iron Spider-Man;91;Iron Spider-Man-91;9.99;
Stitch;152;Stitch-152;9.99;
Potted Groot;113;Potted Groot-113;9.99;
Spring Festival Mickey Mouse;120;Spring Festival Mickey Mouse-120;9.99;
Cherry Blossoms;438;Cherry Blossoms-438;14.99;
Retro Camera;261;Retro Camera-261;19.99;
EVE & WALL•E;155;EVE & WALL•E-155;14.99;
St. Bernard;236;St. Bernard-236;14.99;
Exotic Peacock;355;Exotic Peacock-355;19.99;
Japan Postcard;262;Japan Postcard-262;14.99;
Daffodils;216;Daffodils-216;14.99;
Red Dragon;149;Red Dragon-149;9.99;
Burger Truck;194;Burger Truck-194;19.99;
Yoshis' Egg-cellent Forest Expansion Set;107;Yoshis' Egg-cellent Forest Expansion Set-107;9.99;
Flatbed Truck with Helicopter;270;Flatbed Truck with Helicopter-270;19.99;
Sonic the Hedgehog;139;Sonic the Hedgehog-139;9.99;
Hedgehog Picnic Date;166;Hedgehog Picnic Date-166;12.99;
Interstellar Spaceship;240;Interstellar Spaceship-240;19.99;
Gandalf the Grey and Balrog;348;Gandalf the Grey and Balrog-348;19.99;
Sailboat;103;Sailboat-103;19.99;
Construction Steamroller;78;Construction Steamroller-78;9.99;
Heavy-Duty Bulldozer;195;Heavy-Duty Bulldozer-195;12.99;
Off-Road Race Buggy;219;Off-Road Race Buggy-219;19.99;
Sonic the Hedgehog: Knuckles & Shadow;298;Sonic the Hedgehog: Knuckles & Shadow-298;19.99;
"Miles ""Tails"" Prower";131;"Miles ""Tails"" Prower-131";9.99;
Go-Karts and Race Drivers;99;Go-Karts and Race Drivers-99;9.99;
Motorcycle Chase: Spider-Man vs. Doc Ock;77;Motorcycle Chase: Spider-Man vs. Doc Ock-77;9.99;
�Up� House;598;�Up� House-598;59.99;
Spring Animal Playground ​ ​;172;Spring Animal Playground ​ ​-172;12.99;
Obi-Wan Kenobi & Darth Vader;260;Obi-Wan Kenobi & Darth Vader-260;19.99;
Arin's Battle Mech;104;Arin's Battle Mech-104;15.99;
War Machine Mech Armor;154;War Machine Mech Armor-154;14.99;
Hamster Playground;167;Hamster Playground-167;19.99;
Space Construction Mech;140;Space Construction Mech-140;10.99;
Cat Playground Adventure;87;Cat Playground Adventure-87;10.99;
Blue Monster Truck;148;Blue Monster Truck-148;15.99;
Aston Martin DB5;298;Aston Martin DB5-298;19.99;
Tusken Raider;152;Tusken Raider-152;9.99;
Fire Rescue Helicopter;87;Fire Rescue Helicopter-87;9.99;
2023 McLaren Formula 1 Car;245;2023 McLaren Formula 1 Car-245;26.99;
Mobile Bakery Food Cart;125;Mobile Bakery Food Cart-125;10.99;
4x4 Fire Engine with Rescue Boat;302;4x4 Fire Engine with Rescue Boat-302;34.99;
Hot Dog Food Truck;100;Hot Dog Food Truck-100;19.99;
Cruella & Maleficent;320;Cruella & Maleficent-320;19.99;
Arin's Ninja Off-Road Buggy Car;267;Arin's Ninja Off-Road Buggy Car-267;49.99;
Moana & Merida;410;Moana & Merida-410;19.99;
Spaceship and Asteroid Discovery;126;Spaceship and Asteroid Discovery-126;19.99;
Frodo & Gollum;184;Frodo & Gollum-184;14.99;
Jay's Mech Battle Pack;78;Jay's Mech Battle Pack-78;9.99;
Harry Potter & Cho Chang;267;Harry Potter & Cho Chang-267;19.99;
Emergency Rescue Helicopter;226;Emergency Rescue Helicopter-226;19.99;
Arin's Dragon Glider;27;Arin's Dragon Glider-27;9.99;
Autumn's Baby Cow Shed;79;Autumn's Baby Cow Shed-79;10.99;
Aragorn and Arwen;261;Aragorn and Arwen-261;19.99;
Steve's Desert Expedition;75;Steve's Desert Expedition-75;10.99;
Daily Routines: Bath Time;15;Daily Routines: Bath Time-15;9.99;
Battle of Endor Heroes;549;Battle of Endor Heroes-549;39.99;
Draco Malfoy & Cedric Diggory;262;Draco Malfoy & Cedric Diggory-262;19.99;
Audi S1 e-tron quattro Race Car;274;Audi S1 e-tron quattro Race Car-274;26.99;
Electric Car and Charger;170;Electric Car and Charger-170;15.99;
Police Car and Muscle Car Chase;220;Police Car and Muscle Car Chase-220;19.99;
Kingsley Shacklebolt & Nymphadora Tonks;250;Kingsley Shacklebolt & Nymphadora Tonks-250;19.99;
Belle's Storytime Horse Carriage;63;Belle's Storytime Horse Carriage-63;15.99;
Emergency Ambulance and Snowboarder;79;Emergency Ambulance and Snowboarder-79;19.99;
Animal Train;19;Animal Train-19;19.99;
Visit to the Vet Clinic;28;Visit to the Vet Clinic-28;19.99;
Elsa's Frozen Treats;83;Elsa's Frozen Treats-83;15.99;
Chip & Dale;226;Chip & Dale-226;19.99;
Chinese New Year Pandas;249;Chinese New Year Pandas-249;19.99;
Donald Duck;90;Donald Duck-90;9.99;
Alex;86;Alex-86;9.99;
Zombie;81;Zombie-81;9.99;
Goofy and Pluto;214;Goofy and Pluto-214;14.99;
Ahsoka Tano;164;Ahsoka Tano-164;9.99;
Lion Dance Guy;239;Lion Dance Guy-239;9.99;
FC Barcelona Go Brick Me;530;FC Barcelona Go Brick Me-530;19.99;
Harry, Hermione, Ron & Hagrid;466;Harry, Hermione, Ron & Hagrid-466;24.99;
Avengers Tower;5206;Avengers Tower-5206;499.99;
Llama;100;Llama-100;9.99;
Manchester United Go Brick Me;530;Manchester United Go Brick Me-530;19.99;
Professors of Hogwarts;605;Professors of Hogwarts-605;39.99;
Baby Dinosaur Rescue Center;139;Baby Dinosaur Rescue Center-139;39.99;
Roses;120;Roses-120;14.99;
Lotus Flowers;220;Lotus Flowers-220;14.99;
Sunflowers;191;Sunflowers-191;14.99;
Fire Rescue Motorcycle;57;Fire Rescue Motorcycle-57;9.99;
Green Race Car;56;Green Race Car-56;9.99;
Izzie's Narwhal Hot-Air Balloon;156;Izzie's Narwhal Hot-Air Balloon-156;15.99;
Land Rover Classic Defender;150;Land Rover Classic Defender-150;14.99;
Mateo's Off-Road Car;94;Mateo's Off-Road Car-94;9.99;
Caring for Bees & Beehives;22;Caring for Bees & Beehives-22;19.99;
Horse and Pony Trailer;105;Horse and Pony Trailer-105;19.99;
Tiny Accessories Store;129;Tiny Accessories Store-129;10.99;
Karaoke Music Party;196;Karaoke Music Party-196;19.99;
Big Feelings & Emotions;23;Big Feelings & Emotions-23;29.99;
BMW M4 GT3 & BMW M Hybrid V8 Race Cars;676;BMW M4 GT3 & BMW M Hybrid V8 Race Cars-676;44.99;
Boarding the Tantive IV;502;Boarding the Tantive IV-502;54.99;
Space Shuttle;144;Space Shuttle-144;9.99;
BricQ Motion Essential;523;BricQ Motion Essential-523;149.95;
BricQ Motion Prime;568;BricQ Motion Prime-568;149.95;
Birthday Cake;211;Birthday Cake-211;14.99;
